Dataset,Variable,Description
Census Demographics,peraaXX,Percent of the Population that is Black/African-American
Census Demographics,perwhiteXX,Percent of the Population that is White/Caucasian
Census Demographics,pernaXX,Percent of the Population that is Alaskan/Native American
Census Demographics,perasiXX,Percent of the Population that is Asian
Census Demographics,perpacXX,Percent of the Population that is Hawaiian/Pacific Islander
Census Demographics,per2moreXX,Percent of the Population that is Two or More Races
Census Demographics,perotherXX,Percent of the Population that of an ÔOtherÕ Race
Census Demographics,perhispXX,Percent of the Population that is Hispanic
Census Demographics,age18XX,Percent of the Population Aged 0-17
Census Demographics,age24XX,Percent of the Population Aged 18-24
Census Demographics,age44XX,Percent of the Population Aged 25-44
Census Demographics,age64XX,Percent of the Population Aged 45-64
Census Demographics,age65XX,Percent of the Population Aged 65+
Census Demographics,hhsXX,Total Number of Households
Census Demographics,famXX,Families with Related Children Under 18
Census Demographics,hhsizeXX,Average Household Size
Census Demographics,hh25incXX,"Percent of Households Earning Less than $25,000 a Year"
Census Demographics,hh40incXX,"Percent of Households Earning Between $25,000 and $39,999 a Year"
Census Demographics,hh60incXX,"Percent of Households Earning Between $40,000 and $60,000 a Year"
Census Demographics,hh75incXX,"Percent of Households Earning Between $60,000 and $75,000 a Year"
Census Demographics,hhmore75XX,"Percent of Households Earning Over $75,000"
Census Demographics,mhhiXX,Median Household Income
